ID,Yield,TestWt,FDK,DON,StripeRust
AR062,74.61511763,57.65155219,NA,NA,0.376578309
LA089,72.31506393,56.21721635,NA,NA,0.376578309
LA097,59.09430218,56.10350841,NA,NA,0.376578309
LA113,72.88886797,59.82693448,NA,NA,0.376578309
NC100,64.75680596,54.89358156,NA,NA,0.376578309
TX011,65.54986565,55.80726814,NA,NA,0.376578309
TX012,74.58144899,55.57215493,NA,NA,0.376578309
TX016,67.68082227,55.79354738,NA,NA,0.376578309
VA136,71.07131524,55.82723251,NA,NA,0.376578309
GA167,75.80931282,60.46245206,NA,NA,0.415832342
TX007,69.34056002,55.73526426,NA,NA,0.443206214
FL014,64.59845646,56.76560041,NA,NA,0.443553662
GA080,72.52501692,57.20268036,NA,NA,0.448789135
AR013,58.16587487,57.29629134,NA,NA,0.452996795
AR020,57.62546834,56.19044538,NA,NA,0.452996795
AR024,58.92829394,56.43322948,NA,NA,0.452996795
AR025,54.52735927,56.12416383,NA,NA,0.452996795
FL008,57.44793447,54.40428376,NA,NA,0.452996795
GA053,68.86548148,56.71806532,NA,NA,0.452996795
GA058,74.02560841,57.42224462,NA,NA,0.452996795
GA059,74.5188016,57.88208679,NA,NA,0.452996795
GA060,69.19982112,57.58757732,NA,NA,0.452996795
GA061,70.41995204,55.68160698,NA,NA,0.452996795
GA062,67.0107806,57.90374714,NA,NA,0.452996795
GA065,69.70312648,56.31908174,NA,NA,0.452996795
GA067,70.87680973,56.92283805,NA,NA,0.452996795
GA070,70.06449598,58.02385447,NA,NA,0.452996795
GA076,65.62891085,56.05387342,NA,NA,0.452996795
GA077,67.89655004,55.05880214,NA,NA,0.452996795
LA035,52.50284102,55.88256659,NA,NA,0.452996795
LA049,64.27973905,56.09114742,NA,NA,0.452996795
LA060,63.29782629,59.45458047,NA,NA,0.452996795
LA068,69.64336643,57.64342517,NA,NA,0.452996795
LA071,58.90374696,55.43800221,NA,NA,0.452996795
LA074,64.25431763,55.51586205,NA,NA,0.452996795
NC053,61.87539577,58.35912595,NA,NA,0.452996795
VA082,67.51101626,56.83184688,NA,NA,0.452996795
GA129,72.05680632,60.93379492,NA,NA,0.456567904
GA103,69.72327855,58.919,NA,NA,0.474077742
FL028,66.18802811,57.17907148,NA,NA,0.477111765
TX006,68.4406232,55.85850312,NA,NA,0.486371294
GA106,66.46957759,57.42507766,NA,NA,0.491766483
GA015,61.50938686,57.24945174,NA,NA,0.496962928
LA095,68.00205579,57.05657463,NA,NA,0.504394335
AR047,68.33276806,57.83367554,NA,NA,0.507953834
GA097,69.00607876,58.04536849,NA,NA,0.52337436
GA051,69.44184384,58.33982909,NA,NA,0.533910319
GA118,72.23709079,55.53703239,NA,NA,0.533910319
GA121,64.35537065,57.39789097,NA,NA,0.533910319
NC049,59.34834713,56.30802985,NA,NA,0.533910319
NC070,64.47280138,57.11489223,NA,NA,0.533910319
TX009,68.66916834,57.06492218,NA,NA,0.546322794
LA084,65.635944,55.8336426,NA,NA,0.566710792
VA134,72.01077855,55.03066666,NA,NA,0.572866717
GA079,62.75253777,56.52280494,NA,NA,0.591766483
FL029,62.35141207,57.75395195,NA,NA,0.604085363
GA145,74.25662392,57.41501714,NA,NA,0.604085363
GA102,74.55428135,58.8456966,NA,NA,0.606274294
TX008,70.25950648,55.95195027,NA,NA,0.626662292
LA006,61.2533197,55.20902031,NA,NA,0.637968063
